Date,Open,High,Low,Close,Volume,AdjClose
20150508,47.549999,47.98,47.52,47.75,35364900,47.13088
20150507,46.27,47.09,46.16,46.700001,32971700,46.094495
20150506,47.57,47.77,46.02,46.279999,52433000,45.679939
20150505,47.82,48.16,47.310001,47.599998,50369200,46.982824
20150504,48.369999,48.869999,48.18,48.240002,34039500,47.614529
20150501,48.580002,48.880001,48.400002,48.66,38937300,48.029081
20150430,48.700001,49.540001,48.599998,48.639999,64725500,48.00934
20150429,48.720001,49.310001,48.50,49.060001,47804600,48.423896
20150428,47.779999,49.209999,47.700001,49.16,60730800,48.522598
20150427,47.23,48.130001,47.220001,48.029999,59248200,47.407249
20150424,45.66,48.139999,45.650002,47.869999,130933700,47.249323
20150423,42.889999,43.610001,42.799999,43.34,46309500,42.77806
20150422,42.669998,43.130001,42.549999,42.990002,25064300,42.432599
20150421,43.00,43.150002,42.529999,42.639999,26013800,42.087135
20150420,41.73,43.169998,41.68,42.91,46057700,42.353635
20150417,41.669998,41.740002,41.16,41.619999,42387600,41.08036
